,f
378,0.005630826912417213
379,0.0002344867836035052
380,0.0030442395023534867
381,0.00039450073775724304
382,0.00024357345487467782
383,0.006113242060552574
384,0.00048005522915632
385,-1.1512512153874195e-05
386,0.0008622174489053889
387,0.0016998903598368575
388,5.2209423490305e-06
389,0.005593078198533228
390,0.016267043715202146
391,0.008292421407976173
392,7.20194990464403e-07
393,8.33869458629679e-05
394,-1.1736056397716498e-05
395,-1.1296579926221902e-05
396,0.00456877572167254
397,0.0055600611285156285
398,0.0015752609792710752
399,0.0010429972384962205
400,0.005043436054808535
401,0.0064113474850759885
402,0.0008064261534995278
403,0.000980209801880927
404,1.4479485956995872e-05
405,0.00014866362255267903
406,0.0068691617056939
407,0.0012380582351087792
408,0.005057230403393987
409,2.6014508993319266e-05
410,0.0046323205676670485
411,0.009223142457324252
412,0.0037445905581490256
413,0.009655572879318727
414,0.0002666122778522832
415,-1.1893042143199276e-05
416,0.0008988922320252256
417,4.1900560195801776e-05
418,0.0012798664836653091
419,0.0024063870733420705
420,0.0038145257619604466
421,0.003956035571174009
422,-3.406751839021606e-06
423,0.0002622562967663253
424,0.001973950125138866
425,0.00030583690183703526
426,0.010006674619581775
427,0.003189810537730063
428,0.0005497812796585925
429,0.004235095828334284
430,0.006382233816896213
431,0.00018829348787105185
432,0.006139427167909967
433,0.0054973311732328745
434,0.001154182265026888
435,-1.3319784114729165e-05
436,-1.3195304507432188e-05
437,0.012946762777503338
438,0.00012771159655303153
439,1.2253109136149007e-05
440,0.00706472744972721
441,0.00023942979160952946
442,0.006189465470053495
443,0.0023898812068328204
444,0.0068730312427351635
445,0.0009151086793242409
446,0.007652825715681627
447,0.007919248764868424
448,-8.848806087495763e-06
449,0.014879554768892765
450,0.0009893221190303914
451,-2.210790311251173e-06
452,-1.295647445008559e-05
453,0.0008210591534834841
454,0.00036282651277824105
455,0.0035040168319872794
456,0.003948457584341051
457,0.0014597027396581455
458,-1.4897538958299532e-05
459,0.0037790309989222436
460,-2.420660883345576e-06
461,0.004073838773652542
462,0.0011180924704449655
463,-1.5839138923754904e-05
464,0.00040137022246540646
465,6.421697157462924e-06
466,0.00631023377166738
467,0.0009211199102253799
468,0.008277740302874498
469,0.0023427080851640995
470,-1.3353820782437902e-05
471,0.006284469908056547
472,0.010775121929196605
473,0.005115001905160328
474,-1.481420644716855e-05
475,-1.5620500661732778e-05
476,0.00015846294800850959
477,0.003271681751857588
478,0.00433924473543442
479,0.00012086956039442466
480,0.0002747470854020721
481,0.0015389986049917177
