problem,m,N,method,repetitions,mean_estimate,benchmark_probability,bias,abs_bias,sample_variance,sample_sd,rmse,variance_ratio_to_naive,classifier_accuracy_mean,classifier_error_mean
lotka,5,180,POF_PPSVMG,30,0.015030018530155415,0.015973572007985302,-0.0009435534778298865,0.0009435534778298865,3.827742458529052e-07,0.0006186875187466652,0.0011283028899093449,0.005263719463433024,0.62682,0.37317999999999996
lotka,5,180,Random_MLP,30,0.015340061564018704,0.015973572007985302,-0.0006335104439665982,0.0006335104439665982,9.350279218706709e-06,0.0030578226270839694,0.0031227575476366182,0.12858035054676414,0.6351066666666667,0.3648933333333333
lotka,5,180,Random_PPSVMG,30,0.017455465231285328,0.015973572007985302,0.0014818932233000258,0.0014818932233000258,3.0304320313222975e-07,0.0005504935995379326,0.001580838615543905,0.004167298149941867,0.6383666666666666,0.36163333333333336
lotka,5,200,Naive,30,0.012974943741266266,0.015973572007985302,-0.0029986282667190355,0.0029986282667190355,6.425762774595117e-05,0.008016085562539311,0.008558586286760072,1.0,,
lotka,5,200,POF_MLP,30,0.01272449819231741,0.015973572007985302,-0.0032490738156678925,0.0032490738156678925,5.126938114677936e-06,0.002264274301995661,0.0039602296365661245,0.07978722985149388,0.64372,0.35628000000000004
lotka,5,200,POF_PPSVMG,30,0.014780080422472206,0.015973572007985302,-0.001193491585513096,0.001193491585513096,4.958800934637746e-07,0.0007041875414005665,0.0013857497097796334,0.007717061940479426,0.6347066666666666,0.36529333333333336
lotka,5,200,Random_MLP,30,0.01564218107778692,0.015973572007985302,-0.000331390930198381,0.000331390930198381,1.121485465022294e-05,0.0033488587086084923,0.003365215386693798,0.17452954681990387,0.6384333333333333,0.3615666666666667
lotka,5,200,Random_PPSVMG,30,0.017266851586248425,0.015973572007985302,0.0012932795782631228,0.0012932795782631228,8.702482943743725e-07,0.0009328709955692548,0.0015946223257959275,0.013543112699631309,0.6315000000000001,0.36849999999999994
lotka,5,250,Naive,30,0.015301100093202532,0.015973572007985302,-0.0006724719147827695,0.0006724719147827695,7.491838928745172e-05,0.008655540958683733,0.008681624719119303,1.0,,
lotka,5,250,POF_MLP,30,0.012982859160250196,0.015973572007985302,-0.0029907128477351056,0.0029907128477351056,6.963271385016637e-06,0.0026388011264619083,0.003988437629275963,0.0929447556366903,0.6434533333333333,0.3565466666666667
