N,m,repetition,nn_probability_estimate,two_stage_probability_estimate,nn_classification_error
1000,5,32,0.23022921792511555,0.2524251893884864,0.0759
1000,5,33,0.23440426196100345,0.23492629746245938,0.08976
1000,5,34,0.23111920738384023,0.22861443620666677,0.08418
1000,5,35,0.23068748982586854,0.23859741230768938,0.07932
1000,5,36,0.2325301426503366,0.21500184876442657,0.0814
1000,5,37,0.2293110806685429,0.25066294868463657,0.08132
1000,5,38,0.2294876713681298,0.22760245714219587,0.08356
1000,5,39,0.22846803247065964,0.24445757864410061,0.08574
1000,5,40,0.23234014248058607,0.24184011280440973,0.08286
1000,5,41,0.2293966355910183,0.23723498226865214,0.09072
1000,5,42,0.2309607621484754,0.2366260623531072,0.0785
1000,5,43,0.23156171262442232,0.24300344874302188,0.07634
1000,5,44,0.2326644696468743,0.2378028689060244,0.08256
1000,5,45,0.2329549116314168,0.24645765906158695,0.08318
1000,5,46,0.23236976794423894,0.2245657049801399,0.07942
1000,5,47,0.2309479652506993,0.23762623558364265,0.08638
1000,5,48,0.23036691966998848,0.2588531429338225,0.08046
1000,5,49,0.23332460865511606,0.22707512903559962,0.08626
1000,5,50,0.22989531594093934,0.217325652851568,0.07522
1000,5,51,0.23011176114512705,0.22476761771668452,0.0858
1000,5,52,0.23260029311095334,0.23193657765547224,0.08112
1000,5,53,0.23008178369348223,0.22571968717654556,0.08118
1000,5,54,0.23218804075318672,0.21696460644006813,0.07642
1000,5,55,0.23183225068316082,0.21736167030897408,0.08084
1000,5,56,0.23152306773041426,0.23362351900018602,0.08336
1000,5,57,0.2301772923666274,0.23440381883577716,0.07736
1000,5,58,0.22919142838634826,0.21416495643652828,0.08648
1000,5,59,0.23449831795256115,0.2349317865556977,0.08294
1000,5,60,0.23019440269651736,0.20896224798468865,0.08438
1000,5,61,0.2302901668864037,0.23383578863920232,0.07888
1000,5,62,0.23338781909690062,0.2169559637925857,0.08586
1000,5,63,0.2302400983139265,0.23616746052699278,0.09094
1000,5,64,0.23337434496205747,0.22536422121971303,0.08628
1000,5,65,0.22929544056386902,0.22998914292289865,0.07496
1000,5,66,0.22991070293213756,0.21770012597124896,0.08264
1000,5,67,0.23160976986817036,0.24033040516343102,0.084
1000,5,68,0.23403083800513147,0.2266036010755882,0.07792
1000,5,69,0.2338383466333938,0.22296629874956492,0.08748
1000,5,70,0.22935400034019632,0.2020025990291716,0.08632
1000,5,71,0.23061137065583223,0.2191262787259286,0.07934
1000,5,72,0.23158674893157594,0.2108675376124102,0.08602
1000,5,73,0.23013980049102037,0.22087991248461034,0.07878
1000,5,74,0.23203215229501323,0.2215107813150132,0.0781
1000,5,75,0.23107917019957896,0.2264065774193774,0.08666
1000,5,76,0.23209724682487107,0.23186026104063895,0.07484
1000,5,77,0.2334948669483821,0.218702061323035,0.07822
1000,5,78,0.23131544750864508,0.22158565439985578,0.0812
1000,5,79,0.2316179037814167,0.24755700546089687,0.08118
1000,5,80,0.23035251727544748,0.24079007032997563,0.08016
1000,5,81,0.23376017341068137,0.23787720794455225,0.0866
1000,5,82,0.22823381745232868,0.2543904555255676,0.08814
1000,5,83,0.23023120600536232,0.24788241790047444,0.09228
1000,5,84,0.23087729428784054,0.22377905600058579,0.08518
1000,5,85,0.23052699733738935,0.2445893925743889,0.0819
1000,5,86,0.23131001898098946,0.2333533130414933,0.0732
1000,5,87,0.23452738914299584,0.19880177452188946,0.0801
1000,5,88,0.23125499046210993,0.2297231646257953,0.08436
1000,5,89,0.234141452176474,0.2244622154753616,0.0776
1000,5,90,0.231199855502285,0.2302634934029239,0.08682
1000,5,91,0.23176314125918368,0.23038809673510635,0.08224
1000,5,92,0.23392274026116144,0.22458145408038754,0.08116
1000,5,93,0.22874396484226667,0.2195766979962367,0.08262
1000,5,94,0.2306796289413205,0.24119255442108312,0.07896
1000,5,95,0.22985955141762754,0.22382200868383695,0.08278
1000,5,96,0.22991456700578172,0.22915544417579709,0.08374
1000,5,97,0.23280963948518113,0.2340442788263485,0.08052
1000,5,98,0.2311691333497682,0.23792330635972464,0.07638
1000,5,99,0.2314427862081309,0.22863416012506896,0.0806
2000,5,0,0.23177324108833525,0.23264661404972314,0.05854
2000,5,1,0.23007989416100905,0.23607215005320617,0.05504
2000,5,2,0.22991701000471584,0.22459711920227793,0.0585
2000,5,3,0.2294243885232238,0.24276539380641243,0.05732
2000,5,4,0.23161484552476427,0.22347039735574264,0.05836
2000,5,5,0.2303762500928339,0.2323287477324241,0.06204
2000,5,6,0.23141582315258524,0.22520646761073096,0.05834
2000,5,7,0.23157807717723003,0.22417532754244252,0.05674
2000,5,8,0.2309674679567752,0.23882616793356942,0.05754
2000,5,9,0.23078191782832794,0.2245890533012776,0.06246
2000,5,10,0.23040532246471676,0.23893478707134963,0.05734
2000,5,11,0.23042417049178351,0.23204159695750728,0.06002
2000,5,12,0.2307559318115697,0.2286358408858138,0.05974
2000,5,13,0.2304544542826933,0.2322364470607531,0.05856
2000,5,14,0.23045767425620212,0.21185192502635064,0.05982
2000,5,15,0.2312466025523814,0.2231660498350238,0.0577
2000,5,16,0.2298360105107388,0.22467292182422532,0.05988
2000,5,17,0.23065327431671143,0.24908258902530994,0.05584
2000,5,18,0.23112533440616545,0.22430712996599284,0.0565
2000,5,19,0.2294667156472846,0.21904123501212142,0.0571
2000,5,20,0.23004285623693424,0.2213722051568036,0.0593
2000,5,21,0.23065822999064087,0.21985040602178402,0.05738
2000,5,22,0.22948094215502016,0.23227311391802755,0.05738
2000,5,23,0.2296962802478054,0.22453837018768213,0.05844
2000,5,24,0.2304845028015368,0.22012224843115893,0.06012
2000,5,25,0.23009048699218518,0.24489018770343526,0.0569
2000,5,26,0.23021186857996132,0.235936212971438,0.05604
2000,5,27,0.23236753833017815,0.2466729284804159,0.0607
2000,5,28,0.23203793312189772,0.23018314429529382,0.05362
2000,5,29,0.23076162908856507,0.21742916335673446,0.05812
2000,5,30,0.22914556811228368,0.23575636313618745,0.06044
2000,5,31,0.23129803820146014,0.23611593207526177,0.05668
2000,5,32,0.2325337813150503,0.2208215306467381,0.05522
2000,5,33,0.23062650674776275,0.23177171005060448,0.05162
2000,5,34,0.22972461987173273,0.2188527355630359,0.0517
2000,5,35,0.23062958912107734,0.2133157272738272,0.05834
2000,5,36,0.2314031889287077,0.22264237062650277,0.05708
2000,5,37,0.2326711057158606,0.22079774602478833,0.06212
2000,5,38,0.23046164573382327,0.24843982876020287,0.05692
2000,5,39,0.23114865668918683,0.232841750880658,0.05386
2000,5,40,0.23107516897177802,0.23934349539177263,0.0604
2000,5,41,0.2321661774533888,0.23233562568184138,0.05756
2000,5,42,0.23147178587433814,0.2276188931709528,0.05376
2000,5,43,0.22920729762810138,0.22564106090936042,0.05812
2000,5,44,0.23031339999912676,0.22073450611641357,0.05516
2000,5,45,0.22971436318496655,0.23706990147231388,0.05786
2000,5,46,0.2322117584716118,0.22933708025341895,0.0577
2000,5,47,0.2302825105588419,0.2239497493850792,0.06342
2000,5,48,0.23136118269360828,0.22937712325089823,0.0631
2000,5,49,0.23170668898551608,0.22448741634177594,0.05792
2000,5,50,0.23121898030412938,0.22576829946876678,0.05714
2000,5,51,0.2297210193049007,0.2378457560894328,0.05428
2000,5,52,0.23176172296170128,0.21074518879014256,0.05706
2000,5,53,0.2324115767973788,0.2183881276354517,0.0536
2000,5,54,0.23114561160914843,0.23036154485801907,0.05746
