,f
759,1.5879365875970335
760,1.1450567747607912
761,0.14632312907532796
762,0.9930341597031115
763,1.4673257900606624
764,0.833249209258842
765,0.33629874882995947
766,0.14471664993779068
767,0.30797789823541377
768,0.06666094966542513
769,0.3739093251215624
770,0.40724344743682933
771,0.0016714885149624386
772,0.10748925722850994
773,0.7583103151210362
774,0.06851476251810519
775,0.13412040811740292
776,1.5146128941626087
777,0.9386278991821854
778,0.0004605431607232754
779,3.653821070732301e-05
780,0.015661504125872763
781,0.0005141545254365655
782,0.23492623890214587
783,0.0005175307917525162
784,2.9093920694468526e-06
785,0.003027073936857965
786,0.31635749066982294
787,0.15639194691712083
788,1.406609325960606
789,0.6328429822578547
790,0.9619853170277363
791,0.005102892160792938
792,1.6493215452661152
793,0.17018146200483364
794,0.4926752054873828
795,0.0036841926904619647
796,0.00045213011103812143
797,1.281740668884062
798,9.89278782569789e-07
799,0.8138660623360433
800,1.3110393968949465
801,1.557743339055692
802,1.2300330338132536e-06
803,0.27096038822703755
804,0.3728106118665824
805,0.009924010533864408
806,0.032497116364455625
807,7.04740740130099e-09
808,1.5390739779914435
809,0.0002462507145987823
810,0.6928733102841375
811,0.2856240208714241
812,1.3020037422913306
813,1.1639187665379126e-08
814,1.7541411512297442e-07
815,0.004338707516189603
816,0.000541655181693815
817,1.1319335742596952
818,0.01994274901071834
819,1.3285713943478676
820,0.11814938781326648
821,0.9690003214192721
822,1.7630484038421037
823,0.0006342033696209145
824,0.7314285733297395
825,0.0019509114445753909
826,0.46942166163124377
827,0.15016948345712125
828,0.17003238325548878
829,0.027127719208751466
830,1.3901701883571296
831,0.002686110197313881
832,1.089173521995663
833,0.9412866968253839
834,6.835756240204745e-16
835,1.1669666074278484
836,0.4751101389902895
837,2.620134257067937e-05
838,0.06283570234867385
839,0.036057278229257514
840,0.0031223152339581494
841,0.8517509877358014
842,0.0021800605713907556
843,1.700866256478654
844,0.26774825104982647
845,1.448396057614215
846,0.02013193102608236
847,0.280743742304007
848,0.0002110148927269826
849,0.7679085694459651
850,1.4301047719416309
851,1.9345320628335636
852,1.0254834448888184e-06
853,0.12263255669339229
854,0.03232180244444713
855,0.26136276826651245
856,0.005597754761519407
857,1.813186176575255
858,0.2571742186151297
859,1.906219901017114e-08
860,1.658328160216675e-10
861,1.7217368256097565
862,0.15625076058777085
863,0.00022040566800541456
864,0.022953124818446174
865,0.7128770223801268
866,0.0013642641731333753
867,0.41857048598577734
868,0.7076463131612099
869,0.1323420296157677
870,1.0846657943194928
871,0.8531840015605349
872,2.5344155296210106e-05
873,0.0006101447261664683
874,1.1418065584273502
875,0.02433071280331794
876,0.9477152469596433
877,1.618164280575926
878,0.009719702338160592
879,0.03869357020266256
880,1.2717504297557087
881,1.5538818214838972
882,0.0002683012796945958
883,1.5420507346603352
884,1.2359987079917072
885,4.343474055174674e-06
886,8.544945553358586e-05
887,1.0043459110312373e-05
888,0.0012969299357269903
889,0.1719394652785905
890,0.7537294480087853
891,1.516511368896814
892,0.33055706619860087
893,1.9451044633476609
894,1.07009880640334
895,1.2928713159412442
896,1.0420089419186285
897,0.10445543793925707
898,1.3059164672942376
899,8.253709107314617e-06
900,0.8083377560803032
901,0.6077985042352751
902,8.509264320033948e-07
903,0.009134001274709563
904,0.06620967705582817
905,0.390853960460558
906,0.8570079243394739
907,0.0056949353900615785
908,1.7773436693179283
909,0.0002229825856533506
910,0.11071837118075148
911,0.9730461159021012
912,0.000616420475045455
913,0.3076199559950903
914,0.005996677774318575
915,0.9479114997167541
916,0.49527759533947074
917,1.563803106666405
918,1.2674610410079192
919,0.8465427688298075
920,3.6355309832674084e-05
921,0.7873210886280946
922,0.019464031648541342
923,0.22373186217866503
924,0.048712767713512996
925,1.394559321212983
926,0.19407795505665557
927,2.7013968089910912e-08
928,0.012282694578326137
929,0.6278198894186982
930,0.29723714510310895
931,0.02166808724520306
932,1.2410072896306947
933,0.2542942447639087
934,0.03222307470245749
935,1.4400323157106072
936,0.0035192595838380455
937,0.11325060678094828
938,0.3488861398174656
939,0.929168019629633
940,0.33734363436920933
941,1.0003078324177497
942,1.175558069223139
943,1.0192135798541035
944,0.12216666620171171
945,0.007306929030905742
946,0.5906285243633909
947,0.9219951108593379
948,0.0038212570002944457
949,0.17659667379973498
950,0.6378897035751835
951,0.30976123376946235
952,0.8718693293641088
953,1.5389189614816488e-05
954,2.825332344530161e-06
955,0.001393505672871998
956,4.4771148906852346e-05
957,0.3854507912658322
958,0.13880186228724664
959,0.0009186580814763939
960,1.8032267753950626
961,0.9666383115149909
962,0.37334236879668387
963,0.5778387130706447
964,0.14406535280111282
965,0.4092595496391292
966,1.2667894566027988
967,0.3033211673759164
